task1
29
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (2 - 5)      1.132     1.000   -19.743    22.006
 (2 - 6)      2.011     1.000   -18.864    22.885
 (2 - 7)      2.279     1.000   -18.596    23.153
 (3 - 0)      3.602     0.999   -17.272    24.477
 (3 - 1)      6.667     0.960   -14.207    27.542
 (3 - 2)     13.736     0.397    -7.138    34.610
 (3 - 4)     14.288     0.350    -6.586    35.162
 (3 - 5)     14.868     0.305    -6.007    35.742
 (3 - 6)     15.747     0.243    -5.128    36.621
 (3 - 7)     16.015     0.226    -4.860    36.889
 (4 - 0)    -10.686     0.690   -31.560    10.189
 (4 - 1)     -7.621     0.921   -28.495    13.254
 (4 - 2)     -0.552     1.000   -21.427    20.322
 (4 - 3)    -14.288     0.350   -35.162     6.586
 (4 - 5)      0.580     1.000   -20.295    21.454
 (4 - 6)      1.459     1.000   -19.416    22.333
 (4 - 7)      1.727     1.000   -19.148    22.601
 (5 - 0)    -11.265     0.634   -32.140     9.609
 (5 - 1)     -8.201     0.890   -29.075    12.674
 (5 - 2)     -1.132     1.000   -22.006    19.743
 (5 - 3)    -14.868     0.305   -35.742     6.007
 (5 - 4)     -0.580     1.000   -21.454    20.295
 (5 - 6)      0.879     1.000   -19.995    21.753
 (5 - 7)      1.147     1.000   -19.727    22.021
 (6 - 0)    -12.144     0.547   -33.019     8.730
 (6 - 1)     -9.080     0.830   -29.954    11.795
 (6 - 2)     -2.011     1.000   -22.885    18.864
 (6 - 3)    -15.747     0.243   -36.621     5.128
 (6 - 4)     -1.459     1.000   -22.333    19.416
 (6 - 5)     -0.879     1.000   -21.753    19.995
 (6 - 7)      0.268     1.000   -20.606    21.142
 (7 - 0)    -12.412     0.521   -33.287     8.462
 (7 - 1)     -9.348     0.809   -30.222    11.527
 (7 - 2)     -2.279     1.000   -23.153    18.596
 (7 - 3)    -16.015     0.226   -36.889     4.860
 (7 - 4)     -1.727     1.000   -22.601    19.148
 (7 - 5)     -1.147     1.000   -22.021    19.727
 (7 - 6)     -0.268     1.000   -21.142    20.606

task2
119
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)     12.283     0.411    -6.592    31.158
 (0 - 2)     12.287     0.410    -6.588    31.163
 (0 - 3)     -3.084     0.999   -21.959    15.791
 (0 - 4)     12.243     0.415    -6.632    31.119
 (0 - 5)     13.168     0.328    -5.707    32.043
 (0 - 6)     13.471     0.302    -5.405    32.346
 (0 - 7)     14.478     0.226    -4.398    33.353
 (1 - 0)    -12.283     0.411   -31.158     6.592
 (1 - 2)      0.004     1.000   -18.871    18.880
 (1 - 3)    -15.367     0.172   -34.242     3.508
 (1 - 4)     -0.040     1.000   -18.915    18.836
 (1 - 5)      0.885     1.000   -17.990    19.760
 (1 - 6)      1.188     1.000   -17.687    20.063
 (1 - 7)      2.195     1.000   -16.681    21.070
 (2 - 0)    -12.287     0.410   -31.163     6.588
 (2 - 1)     -0.004     1.000   -18.880    18.871
 (2 - 3)    -15.371     0.172   -34.247     3.504
 (2 - 4)     -0.044     1.000   -18.919    18.831
 (2 - 5)      0.881     1.000   -17.995    19.756
 (2 - 6)      1.184     1.000   -17.692    20.059
 (2 - 7)      2.190     1.000   -16.685    21.066
 (3 - 0)      3.084     0.999   -15.791    21.959
 (3 - 1)     15.367     0.172    -3.508    34.242
 (3 - 2)     15.371     0.172    -3.504    34.247
 (3 - 4)     15.327     0.174    -3.548    34.203
 (3 - 5)     16.252     0.128    -2.623    35.127
 (3 - 6)     16.555     0.116    -2.320    35.430
 (3 - 7)     17.562     0.081    -1.314    36.437
 (4 - 0)    -12.243     0.415   -31.119     6.632
 (4 - 1)      0.040     1.000   -18.836    18.915
 (4 - 2)      0.044     1.000   -18.831    18.919
 (4 - 3)    -15.327     0.174   -34.203     3.548
 (4 - 5)      0.925     1.000   -17.951    19.800
 (4 - 6)      1.228     1.000   -17.648    20.103
 (4 - 7)      2.234     1.000   -16.641    21.110
 (5 - 0)    -13.168     0.328   -32.043     5.707
 (5 - 1)     -0.885     1.000   -19.760    17.990
 (5 - 2)     -0.881     1.000   -19.756    17.995
 (5 - 3)    -16.252     0.128   -35.127     2.623
 (5 - 4)     -0.925     1.000   -19.800    17.951
 (5 - 6)      0.303     1.000   -18.572    19.178
 (5 - 7)      1.310     1.000   -17.566    20.185
 (6 - 0)    -13.471     0.302   -32.346     5.405
 (6 - 1)     -1.188     1.000   -20.063    17.687
 (6 - 2)     -1.184     1.000   -20.059    17.692
 (6 - 3)    -16.555     0.116   -35.430     2.320
 (6 - 4)     -1.228     1.000   -20.103    17.648
 (6 - 5)     -0.303     1.000   -19.178    18.572
 (6 - 7)      1.007     1.000   -17.869    19.882
 (7 - 0)    -14.478     0.226   -33.353     4.398
 (7 - 1)     -2.195     1.000   -21.070    16.681
 (7 - 2)     -2.190     1.000   -21.066    16.685
 (7 - 3)    -17.562     0.081   -36.437     1.314
 (7 - 4)     -2.234     1.000   -21.110    16.641
 (7 - 5)     -1.310     1.000   -20.185    17.566
 (7 - 6)     -1.007     1.000   -19.882    17.869

task3
29
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)    -24.833     0.036   -48.606    -1.061
 (0 - 2)     -0.981     1.000   -24.753    22.791
