0
49
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (6 - 4)     -1.798     0.000    -2.882    -0.714
 (6 - 5)     -2.223     0.000    -3.307    -1.139
 (6 - 7)      0.383     0.963    -0.701     1.467
 (7 - 0)    -20.025     0.000   -21.109   -18.941
 (7 - 1)     -7.094     0.000    -8.178    -6.010
 (7 - 2)     -6.976     0.000    -8.060    -5.892
 (7 - 3)    -18.129     0.000   -19.213   -17.045
 (7 - 4)     -2.181     0.000    -3.265    -1.097
 (7 - 5)     -2.606     0.000    -3.690    -1.522
 (7 - 6)     -0.383     0.963    -1.467     0.701

2
49
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)     -7.837     0.000    -9.076    -6.597
 (0 - 2)      0.954     0.275    -0.285     2.193
 (0 - 3)     -6.334     0.000    -7.573    -5.095
 (0 - 4)      3.999     0.000     2.760     5.238
 (0 - 5)      3.693     0.000     2.453     4.932
 (0 - 6)      4.895     0.000     3.655     6.134
 (0 - 7)      5.141     0.000     3.902     6.381
 (1 - 0)      7.837     0.000     6.597     9.076
 (1 - 2)      8.790     0.000     7.551    10.030
 (1 - 3)      1.503     0.006     0.263     2.742
 (1 - 4)     11.836     0.000    10.596    13.075
 (1 - 5)     11.529     0.000    10.290    12.768
 (1 - 6)     12.731     0.000    11.492    13.971
 (1 - 7)     12.978     0.000    11.739    14.217
 (2 - 0)     -0.954     0.275    -2.193     0.285
 (2 - 1)     -8.790     0.000   -10.030    -7.551
 (2 - 3)     -7.288     0.000    -8.527    -6.048
 (2 - 4)      3.045     0.000     1.806     4.284
 (2 - 5)      2.739     0.000     1.499     3.978
 (2 - 6)      3.941     0.000     2.702     5.180
 (2 - 7)      4.188     0.000     2.948     5.427
 (3 - 0)      6.334     0.000     5.095     7.573
 (3 - 1)     -1.503     0.006    -2.742    -0.263
 (3 - 2)      7.288     0.000     6.048     8.527
 (3 - 4)     10.333     0.000     9.093    11.572
 (3 - 5)     10.026     0.000     8.787    11.266
 (3 - 6)     11.229     0.000     9.989    12.468
 (3 - 7)     11.475     0.000    10.236    12.715
 (4 - 0)     -3.999     0.000    -5.238    -2.760
 (4 - 1)    -11.836     0.000   -13.075   -10.596
 (4 - 2)     -3.045     0.000    -4.284    -1.806
 (4 - 3)    -10.333     0.000   -11.572    -9.093
 (4 - 5)     -0.306     0.995    -1.546     0.933
 (4 - 6)      0.896     0.357    -0.344     2.135
 (4 - 7)      1.143     0.096    -0.097     2.382
 (5 - 0)     -3.693     0.000    -4.932    -2.453
 (5 - 1)    -11.529     0.000   -12.768   -10.290
 (5 - 2)     -2.739     0.000    -3.978    -1.499
 (5 - 3)    -10.026     0.000   -11.266    -8.787
 (5 - 4)      0.306     0.995    -0.933     1.546
 (5 - 6)      1.202     0.065    -0.037     2.441
 (5 - 7)      1.449     0.009     0.210     2.688
 (6 - 0)     -4.895     0.000    -6.134    -3.655
 (6 - 1)    -12.731     0.000   -13.971   -11.492
 (6 - 2)     -3.941     0.000    -5.180    -2.702
 (6 - 3)    -11.229     0.000   -12.468    -9.989
 (6 - 4)     -0.896     0.357    -2.135     0.344
 (6 - 5)     -1.202     0.065    -2.441     0.037
 (6 - 7)      0.247     0.999    -0.992     1.486
 (7 - 0)     -5.141     0.000    -6.381    -3.902
 (7 - 1)    -12.978     0.000   -14.217   -11.739
 (7 - 2)     -4.188     0.000    -5.427    -2.948
 (7 - 3)    -11.475     0.000   -12.715   -10.236
 (7 - 4)     -1.143     0.096    -2.382     0.097
 (7 - 5)     -1.449     0.009    -2.688    -0.210
 (7 - 6)     -0.247     0.999    -1.486     0.992

2
149
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)      1.642     0.002     0.396     2.888
 (0 - 2)      5.683     0.000     4.437     6.929
 (0 - 3)     -4.330     0.000    -5.576    -3.084
 (0 - 4)      9.722     0.000     8.476    10.969
 (0 - 5)      9.003     0.000     7.757    10.249
 (0 - 6)     10.494     0.000     9.247    11.740
 (0 - 7)     10.605     0.000     9.359    11.851
 (1 - 0)     -1.642     0.002    -2.888    -0.396
 (1 - 2)      4.041     0.000     2.795     5.288
 (1 - 3)     -5.972     0.000    -7.218    -4.725
 (1 - 4)      8.080     0.000     6.834     9.327
 (1 - 5)      7.361     0.000     6.115     8.607
 (1 - 6)      8.852     0.000     7.605    10.098
 (1 - 7)      8.963     0.000     7.717    10.209
 (2 - 0)     -5.683     0.000    -6.929    -4.437
 (2 - 1)     -4.041     0.000    -5.288    -2.795
 (2 - 3)    -10.013     0.000   -11.259    -8.767
 (2 - 4)      4.039     0.000     2.793     5.285
 (2 - 5)      3.320     0.000     2.074     4.566
 (2 - 6)      4.810     0.000     3.564     6.057
 (2 - 7)      4.922     0.000     3.676     6.168
 (3 - 0)      4.330     0.000     3.084     5.576
 (3 - 1)      5.972     0.000     4.725     7.218
 (3 - 2)     10.013     0.000     8.767    11.259
 (3 - 4)     14.052     0.000    12.806    15.298
 (3 - 5)     13.333     0.000    12.087    14.579
 (3 - 6)     14.823     0.000    13.577    16.070
 (3 - 7)     14.935     0.000    13.689    16.181
 (4 - 0)     -9.722     0.000   -10.969    -8.476
 (4 - 1)     -8.080     0.000    -9.327    -6.834
 (4 - 2)     -4.039     0.000    -5.285    -2.793
 (4 - 3)    -14.052     0.000   -15.298   -12.806
 (4 - 5)     -0.719     0.654    -1.966     0.527
 (4 - 6)      0.771     0.567    -0.475     2.018
 (4 - 7)      0.883     0.384    -0.364     2.129
 (5 - 0)     -9.003     0.000   -10.249    -7.757
 (5 - 1)     -7.361     0.000    -8.607    -6.115
 (5 - 2)     -3.320     0.000    -4.566    -2.074
 (5 - 3)    -13.333     0.000   -14.579   -12.087
 (5 - 4)      0.719     0.654    -0.527     1.966
 (5 - 6)      1.491     0.007     0.244     2.737
 (5 - 7)      1.602     0.002     0.356     2.848
 (6 - 0)    -10.494     0.000   -11.740    -9.247
 (6 - 1)     -8.852     0.000   -10.098    -7.605
 (6 - 2)     -4.810     0.000    -6.057    -3.564
 (6 - 3)    -14.823     0.000   -16.070   -13.577
 (6 - 4)     -0.771     0.567    -2.018     0.475
 (6 - 5)     -1.491     0.007    -2.737    -0.244
 (6 - 7)      0.111     1.000    -1.135     1.358
 (7 - 0)    -10.605     0.000   -11.851    -9.359
 (7 - 1)     -8.963     0.000   -10.209    -7.717
